Model,PR_AUC_mean,PR_AUC_std,ROC_AUC_mean,Brier_mean
Plain LR,0.13320948150819492,0.004773925605559108,0.6238251913065246,0.07528983099191677
Class-weighted LR,0.13274215699019667,0.004900762213129183,0.6237593237839574,0.23865419298034762
SMOTE-NC LR,0.11794433899650078,0.0016413640720813164,0.6040954820401414,0.0960531864026446
