Model,PR_AUC_mean,PR_AUC_std,ROC_AUC_mean,ROC_AUC_std,Brier_mean
LightGBM Tuned,0.14062729856936287,0.003419171367237676,0.6327467674452322,0.005638468124326822,0.07496779759862986
Random Forest,0.13400590092742973,0.003918878936339229,0.6249276252397128,0.005491947818838655,0.0752451714547882
Logistic Regression,0.13320948150819492,0.004773925605559108,0.6238251913065246,0.006528784863965251,0.07528983099191677
LightGBM,0.13171312076045752,0.006589993816068179,0.6179100714632224,0.009258574133381279,0.07565185379182023
